"Bug ID","Component","Assignee","Summary","Number of Comments","Votes","Depends on","Classification","Blocks","Hardware","Iteration","Keywords"
1064281,"General","andrei.eftimie@softvision.ro","Enhance selectors for the new about:privatebrowsing page",4,0,,"Client Software",1064285,"All","---",
1058140,"Developer Tools: WebIDE","anirudh.gp@gmail.com","""troubleshooting"" button in WebIDE should be capitalized",33,0,1011464,"Client Software",,"All","---",
1030490,"Developer Tools: Inspector","aoprea@mozilla.com","Inconsistent behavior when incrementing values in the CSS rules",14,0,,"Client Software",,"x86","---",
1096921,"Extension Compatibility","arai_a@mac.com","Typo in CategoryManagerInterposition.methods.deleteCategoryEntry.",6,0,,"Client Software",,"All","---",
1101704,"Developer Tools: Console","arai_a@mac.com","Use non-iterable object in browser_console_addonsdk_loader_exception.js.",5,0,,"Client Software",1092538,"All","---",
906632,"Developer Tools: Graphic Commandline and Toolbar","archaeopteryx@coole-files.de","Indentation is inconsistent between jsb and Scratchpad",11,1,,"Client Software",,"x86_64","---",
1016300,"General","archaeopteryx@coole-files.de","Move inline scripts and styles into separate file for browser/content/browser/preferences/in-content/preferences.xul (URL=about:preferences)",28,0,1091320,"Client Software","718011, 923920","All","---",
1011854,"Session Restore","arpad.borsos@googlemail.com","Remove usage of 2nd WeakMap#get parameter from SessionStore",5,1,,"Client Software",1009349,"All","---",
968896,"Developer Tools: Source Editor","bbenvie@mozilla.com","Add tern support to source editor to provide autocompletion and type inference",48,0,"435164, 967813, 1024937, 1026560","Client Software",,"All","---","dev-doc-complete"
985640,"Plugin Click-To-Activate Whitelist","benjamin@smedbergs.us","Plugin whitelist request: F5 Networks SSLVPN plugin",5,0,,"Client Software",,"All","---",
989872,"Plugin Click-To-Activate Whitelist","benjamin@smedbergs.us","Plugin Whitelist Request:Verimatrix ViewRightWeb for Firefox",7,0,,"Client Software",,"All","---",
1029266,"Search","benjamin@smedbergs.us","Breakdown -- Search Test: Reporting, number of sessions",1,0,"1017806, 1030827","Client Software",,"x86",33.2,
1029267,"Search","benjamin@smedbergs.us","Breakdown -- Search Test: Reporting, changes default search provider",1,0,"1017806, 1029031, 1030827","Client Software",,"x86",33.2,
1029269,"Search","benjamin@smedbergs.us","Breakdown -- Search Test: Reporting, length of sessions",1,0,"1017806, 1030827","Client Software",,"x86",33.2,
1029270,"Search","benjamin@smedbergs.us","Breakdown -- Search Test: Reporting, active ticks",1,0,"1017806, 1030827","Client Software",,"x86",33.2,
1029271,"Search","benjamin@smedbergs.us","Breakdown -- Search Test: Reporting, number of searches by partner and SAP",1,0,"1017806, 1030827","Client Software",,"x86",33.2,
1104823,"General","benjamin@smedbergs.us","UiTour associated with the new searchbar generates an error in the browser console.",8,0,,"Client Software","1101642, 1101790, 1102610","All","---",
974652,"Toolbars and Customization","bernardo@rittme.com","Add aWidgetId and aArea to INFO()'d message when failing in onWidgetRemoved",10,0,,"Client Software","872617, 976420","All","---",
1023339,"Preferences","bernardo@rittme.com","Clickable area of some in-content preferences (still) too large",22,0,,"Client Software",,"All","---",
1053467,"General","bernardo@rittme.com","Add telemetry to measure favicon sizes attribute usage",10,0,,"Client Software",,"All",34.3,
1054712,"General","bernardo@rittme.com","Duplicated logic for HiDPI favicon rendering on tabbrowser and search bar",6,0,1052174,"Client Software",,"All",34.2,
1057204,"General","bernardo@rittme.com","Remove .lock file mistakenly included on bug 1041845",5,0,,"Client Software",1041845,"All",34.3,
980911,"General","bernd.loeber+mozbugzilla@gmail.com","Rewrite inline script/style in browser/base/content/aboutaccounts/aboutaccounts.xhtml (about:accounts)",15,0,,"Client Software",923920,"All","---",
1065122,"Developer Tools: Timeline","bgirard@mozilla.com","Browser crash when using Timeline & Profiler at the same time",18,0,,"Client Software",1050791,"x86","---",
837188,"Developer Tools","bgrinstead@mozilla.com","Use 2x images for Developer Tools UI for HiDPI",15,1,"941673, 947309, 957160, 1000928, 1005431, 1006906, 1009002, 1009145, 1011249, 1012139, 1012166, 1012829, 1017890, 1018809, 1019124, 1019186, 1019217, 1022290","Client Software","785330, 831711, 916766, 1016548, 1023546","All","---","feature"
915414,"Developer Tools","bgrinstead@mozilla.com","The devtools need a padding diet",17,0,"942292, 951726, 952100","Client Software",,"All","---",
920141,"Developer Tools: Inspector","bgrinstead@mozilla.com","[markup view] Show ::before and ::after pseudo elements in the tree",33,2,777674,"Client Software","892935, 920142, 945450, 950090, 958216, 961032, 1036324, 1037437, 1053898, 1061462, 1076912, 1077094, 1077750","All","---","dev-doc-needed"
942292,"Developer Tools","bgrinstead@mozilla.com","DevTools themes - make the toolbars thinner",80,2,"941673, 942815, 943883, 952100, 957117, 984051, 1000928, 1028235","Client Software","915414, 916766, 973691, 1006371, 1023192, 1025057","All","---",
964356,"Developer Tools: Source Editor","bgrinstead@mozilla.com","Implement and expose preferences for editor defaults",28,0,"963937, 988155, 1031472, 1051597, 1060945","Client Software",1050857,"All","---",
964819,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Split console button doesn't show up in the app manager toolbox",11,0,,"Client Software",,"x86","---",
966242,"Developer Tools: Inspector","bgrinstead@mozilla.com","[ruleview] Refreshing the rule view has a delay and causes a flicker",13,0,,"Client Software","831711, 1020438","All","---",
987089,"Developer Tools: Framework","bgrinstead@mozilla.com","Land ProjectEditor in browser/devtools",98,0,"999417, 1011652, 1024994","Client Software","999420, 1007059, 1011026","All","---","dev-doc-needed"
991810,"Developer Tools: Framework","bgrinstead@mozilla.com","Move the inspector button to the top left",44,1,"1017512, 1017897","Client Software","983600, 991806","x86","---",
998344,"Developer Tools: Console","bgrinstead@mozilla.com","Console input is slow when accessing large Uint8Array object properties",28,0,,"Client Software",,"x86","---",
1005431,"Developer Tools: Inspector","bgrinstead@mozilla.com","Invalid Property Value image is not Retina friendly",7,0,,"Client Software",837188,"All","---",
1011031,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Project Editor: Reload file that has already been opened when changed on disk",9,0,1033853,"Client Software","1011026, 1029741","All","---",
1011652,"Developer Tools: Framework","bgrinstead@mozilla.com","mochitest-devtools fails when shared and tilt folders are run together",15,0,,"Client Software",987089,"All","---",
1014046,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Project Editor: Re-enable tests on Windows",5,0,,"Client Software","1011026, 1014237","All","---",
1017512,"Developer Tools","bgrinstead@mozilla.com","Selected toolbox tab doesn't have a background on :active state",6,0,,"Client Software",991810,"All","---",
1017897,"Developer Tools: Framework","bgrinstead@mozilla.com","Build warning: browser/devtools/framework/toolbox.xul: WARNING: no preprocessor directives found",4,0,,"Client Software",991810,"All","---",
1018162,"Developer Tools: Inspector","bgrinstead@mozilla.com","toolbox.dtd - showUserAgentStyles entities are in the middle of defaultColorUnit entities",5,0,,"Client Software",935803,"All","---",
1018955,"Developer Tools: Debugger","bgrinstead@mozilla.com","Pause/resume button flickers when debugger first loads",20,0,,"Client Software",1021365,"All","---",
1019669,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Flatten project editor plugin folder structure",7,0,,"Client Software","1011026, 1019676","All","---",
1019676,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Project editor: Allow app header to be updated and add gear icon / status indicator",13,0,1019669,"Client Software","1011026, 1021475, 1021831","All","---",
1021023,"Developer Tools: Inspector","bgrinstead@mozilla.com","TypeError: document is null: CssLogic_findCssSelector when inspecting <window> in XUL document",4,0,,"Client Software",,"All","---",
1021365,"Developer Tools: Debugger","bgrinstead@mozilla.com","Pause/resume button flickers when setting breakpoint",6,0,1018955,"Client Software",,"All","---",
1021770,"Developer Tools: Framework","bgrinstead@mozilla.com","Browser Toolbox: extra separator next to options cog",5,0,,"Client Software",,"All","---",
1021827,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Show menu items for project editor inside of App Manager",25,0,1030951,"Client Software",1011026,"All","---",
1022084,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Project Editor: turn on auto completion for JS & CSS files",9,0,,"Client Software",1011026,"All","---",
1022780,"Developer Tools: Inspector","bgrinstead@mozilla.com","Cmd+H triggers 'hide markup', should only be triggered by H",7,0,,"Client Software",831711,"x86","---",
1023666,"Developer Tools: Style Editor","bgrinstead@mozilla.com","Condition text labels in @media sidebar should wrap",11,0,,"Client Software",,"All","---",
1025057,"Developer Tools","bgrinstead@mozilla.com","DevTools themes: thin toolbar button follow up",18,0,942292,"Client Software",,"All","---",
1026560,"Developer Tools: Scratchpad","bgrinstead@mozilla.com","clicking the [docs] link in the type information popup in Scratchpad should open the MDN page in a new window",24,0,,"Client Software",968896,"All","---",
1026811,"Developer Tools: Source Editor","bgrinstead@mozilla.com","Upgrade to CodeMirror 4.2",11,0,,"Client Software",,"All","---",
1029162,"Developer Tools: Source Editor","bgrinstead@mozilla.com","tern info for global objects is incomplete, eg no document.query*",11,0,,"Client Software",,"x86","---",
1029511,"Developer Tools: Source Editor","bgrinstead@mozilla.com","Allow toggling of autocomplete option in source editor",12,0,,"Client Software","1008709, 1031472","All","---",
1030347,"Developer Tools: Source Editor","bgrinstead@mozilla.com","Enable devtools/sourceeditor tests with e10s",9,1,,"Client Software",875871,"All","---",
1030716,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Prevent dark theme in sourceeditor for WebIDE",7,0,,"Client Software",1007059,"x86_64","---",
1030951,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Frequent ""TypeError: this.editMenu is undefined"" logspam in mochitest-other runs",7,0,,"Client Software","920191, 1011026, 1021827","All","---",
1031404,"Developer Tools: Framework","bgrinstead@mozilla.com","Browser Toolbox: Open on last used panel by default",31,0,1060464,"Client Software","1090423, 1092821","All","---",
1031472,"Developer Tools: Source Editor","bgrinstead@mozilla.com","Automatically reload all preferences in source editor",18,0,1029511,"Client Software","964356, 1008709","All","---",
1033853,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Unsaved files changes disappear when switching files in editor",9,0,,"Client Software","1007059, 1011031","All","---",
1033855,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Deleting current app leaves WebIDE in broken state",10,0,,"Client Software","1007059, 1037577","All","---",
1034079,"Developer Tools: Debugger","bgrinstead@mozilla.com","There's no hover effect on the ""resume"" button in the Debugger's toolbar",8,0,,"Client Software",,"All","---",
1037145,"Developer Tools: Responsive Mode","bgrinstead@mozilla.com","Remove esc as a keybinding to close responsive mode",5,0,,"Client Software",,"x86","---",
1037292,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Intermittent browser_projecteditor_menubar_01.js | [Exception... ""Component returned failure code: 0x80520015 (NS_ERROR_FILE_ACCESS_DENIED) [nsIFile.create]""  nsresult: ""0x80520015 (NS_ERROR_FILE_ACCESS_DENIED)""  location: ""JS frame :: resource://gre/modu",53,0,,"Client Software",,"x86","---","intermittent-failure"
1037908,"Developer Tools: Inspector","bgrinstead@mozilla.com","Inspector tooltip text has unwanted text-shadow with certain light-weight themes",8,0,,"Client Software",,"All","---",
1045715,"Developer Tools: Console","bgrinstead@mozilla.com","Make console output faster",38,0,"946336, 951753, 1026295","Client Software",,"All","---","perf"
1050439,"Developer Tools: Framework","bgrinstead@mozilla.com","Focus should be restored to previously active element after split console is closed",9,0,1043154,"Client Software",,"All","---",
1050442,"Developer Tools: Framework","bgrinstead@mozilla.com","If persisted, split console should be focused when toolbox opens",7,0,974550,"Client Software",,"All","---",
1050857,"Developer Tools: Framework","bgrinstead@mozilla.com","Options panel layout doesn't work well with translated text",14,0,"964356, 1098431","Client Software",,"All","---",
1051136,"Developer Tools: WebIDE","bgrinstead@mozilla.com","Intermittent browser_projecteditor_menubar_02.js | Edit menu item is enabled - Got true, expected",109,0,,"Client Software",,"All","---","intermittent-failure"
1051597,"Developer Tools: Source Editor","bgrinstead@mozilla.com","Typo in options.sourceeditor.expandtab.tooltip in browser/locales/en-US/chrome/browser/devtools/toolbox.dtd",8,0,,"Client Software",964356,"All","---",
1053434,"Theme","bgrinstead@mozilla.com","Create a dark theme for Firefox based on the DevTools color palette",302,0,"1075415, 1082108, 1085628, 1085745, 1088712, 1088771, 1088789, 1088844, 1091656, 1091711, 1093368, 1093374, 1093820, 1093866, 1094296, 1094464, 1094538, 1094696, 1094782, 1094830, 1095797, 1096180, 1099117","Client Software","969914, 1054353, 1080406, 1082584, 1090548, 1091012","All","---",
1058033,"Developer Tools: Graphic Commandline and Toolbar","bgrinstead@mozilla.com","e10s `window is null` error in gcli/commands/paintflashing.js on toolbox open",5,0,,"Client Software","875871, 1042253","x86","---",
1058167,"Developer Tools: Framework","bgrinstead@mozilla.com","Split console command button is not active when initially opened",6,0,"974550, 1060086","Client Software",,"All","---",
1059432,"Developer Tools: Framework","bgrinstead@mozilla.com","UI updates for frame selection command button",6,0,,"Client Software",977043,"All","---",
1060086,"Developer Tools: Framework","bgrinstead@mozilla.com","Spam: 'TypeError: command.state.offChange is not a function' in mochitest-dt",4,0,,"Client Software",1058167,"All","---",
1060945,"Developer Tools","bgrinstead@mozilla.com","Cannot disable a devtools panel if its visibilityswitch pref doesn't exist",8,0,,"Client Software",964356,"All","---",
1083657,"Developer Tools","bgrinstead@mozilla.com","Intermittent browser_projecteditor_delete_file.js | A promise chain failed to handle a rejection: - at resource://gre/modules/commonjs/toolkit/loader.js -> resource:///modules/devtools/projecteditor/editors.js:248 - TypeError: this.editor is null",20,0,,"Client Software",,"x86","---","intermittent-failure"
1088789,"Theme","bgrinstead@mozilla.com","Undefined negative-space CSS variable",8,0,,"Client Software",1053434,"x86","---",
1091656,"Theme","bgrinstead@mozilla.com","Back button is missing a border on hover",30,0,,"Client Software","1053434, 1054353","All","---",
1093766,"Theme","bgrinstead@mozilla.com","DevEdition branding: About dialog has a black strip on the right side",8,0,,"Client Software","1054353, 1072181","All","---",
1093790,"Theme","bgrinstead@mozilla.com","Use light full screen button for devedition theme",17,0,"1018845, 1095210","Client Software",,"All","---",
1093875,"Developer Tools: Inspector","bgrinstead@mozilla.com","XBL anonymous content cannot be inspected inside of an HTML document",6,0,,"Client Software",,"All","---",
1094509,"Theme","bgrinstead@mozilla.com","DevEdition theme: switch to light devedition theme when light devtools theme is applied",23,0,,"Client Software","1094138, 1094356","All","---",
1094830,"Theme","bgrinstead@mozilla.com","Open a new tab button shakes after it reaches the right edge of Firefox",17,0,,"Client Software",1053434,"All","---",
1095827,"Toolbars and Customization","bgrinstead@mozilla.com","[Developer Edition] navigation toolbar too wide in customize mode",6,0,,"Client Software",,"All","---",
1096371,"Theme","bgrinstead@mozilla.com","DevTools Themes: Tabs with notifications too dark on Dev Edition Light theme",12,0,,"Client Software",1093870,"All","---",
1096430,"Theme","bgrinstead@mozilla.com","Panel UI separator icon is wrong for Australis in dev edition 35",20,1,,"Client Software",1054353,"All","---",
1096469,"Theme","bgrinstead@mozilla.com","Make devedition theme work with Firebug 3",15,0,,"Client Software",,"All","---",
1096542,"Untriaged","bgrinstead@mozilla.com","Tab bar jitters when full",43,0,1100578,"Client Software",1097965,"x86","---",
1097408,"Theme","bgrinstead@mozilla.com","DevEdition light theme: new-tab-button hover on linux shows default toolbar background",6,0,,"Client Software",,"All","---",
1098431,"Developer Tools: Framework","bgrinstead@mozilla.com","Popups inside developer tools appear in the wrong location",16,0,,"Client Software",1050857,"x86","---","regression"
1102084,"Developer Tools: Inspector","bgrinstead@mozilla.com","We need more contrast for the currently-hovered node in the dark theme",17,1,1102369,"Client Software",,"x86","---",
1102308,"Developer Tools: Framework","bgrinstead@mozilla.com","Refactor pref-changed emitting in toolbox-options.js",5,0,1097156,"Client Software",,"All","---",
1102369,"Developer Tools","bgrinstead@mozilla.com","Convert current devtools colors to css variables",7,0,1104856,"Client Software","947242, 1102084, 1102464, 1106124","All","---",
1104856,"Developer Tools","bgrinstead@mozilla.com","Active state for the selected devtools tab is wrong",4,0,,"Client Software",1102369,"All","---",
1038458,"General","birunthan@mohanathas.com","Flatten away public/src subdirectories under browser/components/",17,0,,"Client Software",,"All","---",
1044446,"Build Config","birunthan@mohanathas.com","Collapse test-only moz.build files under browser/ into ancestor moz.build files",6,0,,"Client Software",847009,"All","---",
1048277,"Theme","birunthan@mohanathas.com","Fix selector for hiding about:neterror icon",4,0,,"Client Software",,"All","---",
1048622,"General","birunthan@mohanathas.com","Fix 'assignment to undefined variable' warnings in nsBrowserContentHandler.js",4,0,,"Client Software",,"All","---",
1054584,"General","birunthan@mohanathas.com","""statusDiv is null"" error in browser-plugins.js",9,0,,"Client Software",,"All","---",
1074081,"Location Bar","birunthan@mohanathas.com","opening a new Private Browsing Window doesn't focus the location bar",15,0,1093101,"Client Software",,"All","---",
1083632,"General","birunthan@mohanathas.com","Remove strings marked ""remove post-Australis""",6,0,,"Client Software",,"All","---",
1054959,"General","blassey.bugs@lassey.us","Add 'Send Video To Device' to the context menu for sending videos from desktop to a second screen",56,0,"1064834, 1072931, 1079541, 1083952, 1086278, 1090535, 1102482","Client Software","1080809, 1084035, 1088758","All",36.1,"late-l10n"
1045927,"General","bmcbride@mozilla.com","UI Tour: Add ability to highlight Loop icon in browser chrome",9,0,,"Client Software","1056383, 1080942","All",34.2,
1056769,"General","bmcbride@mozilla.com","Intermittent browser_UITour2.js FATAL ERROR: Non-local network connections are disabled and a connection attempt to support.mozilla.org (63.245.217.50) was made. [@ nsSocketTransport::InitiateSocket()]",14,0,,"Client Software",995417,"x86",34.3,"intermittent-failure"
1057186,"Location Bar","bmcbride@mozilla.com","Add a way to specify that nsDefaultURIFixup should obey the domain whitelist when not using keyword searches",10,0,,"Client Software","494092, 951624","All",35.1,
1060642,"Location Bar","bmcbride@mozilla.com","Improve display of entries without a title in the Awesomebar",17,0,,"Client Software",,"x86",36.3,
1068284,"General","bmcbride@mozilla.com","UI Tour: Add ability to highlight search provider in search menu.",40,0,,"Client Software",1071187,"All",36.1,
1072320,"General","bmcbride@mozilla.com","Perma-orange browser_action_searchengine.js | Test timed out - expected PASS",14,0,1073339,"Client Software",1067888,"x86",35.2,
1078213,"Search","bmcbride@mozilla.com","Search bar binding shouldn't unsafely set IDs for menuitems",12,0,,"Client Software",,"All",35.3,"sec-low"
1097106,"Location Bar","bmcbride@mozilla.com","Disable Search Provider Top Suggestion feature",9,0,,"Client Software","958188, 995091","All",36.3,
1038278,"General","bobbyholley@gmail.com","New Firefox shutdown terminal-spam: ""JavaScript strict warning: chrome://global/content/bindings/textbox.xml, line 176: reference to undefined property this.inputField.foo""",6,0,,"Client Software",1034682,"x86_64","---",
1074976,"General","bruteforks@gmail.com","Deduplicate makeNicePluginName()",15,0,847072,"Client Software",1074822,"All","---",
1029783,"Search","bwinton@mozilla.com","[Search experiment] Set alternate search provider",4,0,1029776,"Client Software","1029260, 1029746","All",33.2,
1105189,"General","bzhao@mozilla.com","Look for the distribution/bundles directory under Contents/Resources due to v2 signing requirements",10,0,,"Client Software",1047738,"x86","---",
1023655,"General","cam@mcc.id.au","unnecessary DOCTYPEs in SVG resources cause failed DTD loads and console warnings",4,0,,"Client Software",,"All","---",
1045751,"New Tab Page","cheekujodhpur@gmail.com","Shrink tile (pin/block/gear) button sizes by a little bit",32,0,1037341,"Client Software","977787, 1030832, 1036284, 1057602","All",34.3,
1066101,"Developer Tools: Responsive Mode","chris@improbable.org","Responsive Design View uses incorrect dates in screenshot filename",16,0,,"Client Software",,"All","---",
1080911,"Developer Tools: Profiler","christian.pommranz@gmail.com","Sort frames by samples, not duration, in the call tree",13,0,,"Client Software",,"x86","---",
1005909,"Developer Tools: Console","connorbrem@gmail.com","Please make links in console output, e.g. console.log('http://mozilla.org'), clickable",37,0,,"Client Software",,"All","---",
992679,"Developer Tools: Inspector","contact@willianveiga.com","Context item to open split console and log element",12,0,,"Client Software",991806,"All","---",
875766,"PDF Viewer","cosmin.malutan@softvision.ro","Add automated test for navigation through the document",18,0,,"Client Software",,"All","---",
982396,"Bookmarks & History","cpeterson@mozilla.com","JavaScript strict warning: chrome://browser/content/browser.js, line 2888: reference to undefined property this._shouldWrap",9,0,,"Client Software",944947,"All","---",
1105404,"Session Restore","cpeterson@mozilla.com","Remove deprecated for-each-in loops in about:sessionrestore",3,0,,"Client Software",1083467,"All","---",
1105406,"New Tab Page","cpeterson@mozilla.com","Remove deprecated for-each-in array comprehension in about:newtab",4,0,,"Client Software",1083467,"All","---",
1105408,"Sync","cpeterson@mozilla.com","Remove deprecated for-each-in loop in about:sync-tabs",3,0,,"Client Software",1083467,"All","---",
585361,"Tabbed Browser","dao@mozilla.com","Intermittent failure in browser_bug380960.js | tab removed after at most 1750 ms - Got [object XULElement], expected null followed by a ""Found an unexpected tab"" OR got the close event syncronously",250,0,,"Client Software","380960, 438871","All","---","intermittent-failure"
994623,"Theme","dao@mozilla.com","Australis: Invert icons in the tabstrip and menubar on Ubuntu",12,3,"1012629, 1037411","Client Software","939862, 947356","x86","---","ux-visual-hierarchy"
995300,"Theme","dao@mozilla.com","When the location bar grows vertically due to an increased font size, the forward button should grow as well to match the location bar",11,0,"997131, 1005132","Client Software",,"All","---",
